review_id,listing_id,number_of_reviews,review_scores_rating
194,17229016,99,4.89
195,33475500,35,4.74
196,32176552,0,
197,1450434548146542612,2,5.0
198,1187587389612122823,6,4.67
199,1106290503171120604,0,
200,1671791002165252190,0,
201,1363632019122646244,2,4.5
202,1056221399351716266,3,5.0
203,16309273,2,2.5
204,1066657104565592557,17,4.82
205,951113780557442209,5,4.6
206,41050557,21,4.29
207,1700127465234954834,0,
208,956440273436616633,2,5.0
209,699008435660543999,82,4.65
210,54107024,0,
211,1321452626182948556,0,
212,42650380,0,
213,20272879,0,
214,921948949760638782,0,
215,910076865307565763,0,
216,1373775415865775427,1,5.0
217,42746012,1,1.0
218,566520395157706820,7,4.0
219,1619729993958125473,1,5.0
220,750459746826850601,0,
221,1311106958073725953,0,
222,38882508,0,
223,1367851711502282866,0,
224,1323031030447883114,0,
225,1692876971975214783,0,
226,31726360,0,
227,1525807536424187615,0,
228,1381752946568135308,0,
229,1276537729751415470,0,
230,1455367354553258059,0,
231,1628258657523815396,0,
232,1654660072180481394,0,
233,1086096011171871554,0,
234,1618973797120905737,0,
235,1297915241939130306,0,
236,1679722301746296539,0,
237,1302713524401521085,0,
238,1272403009023487233,0,
239,1331480892287293109,0,
240,1617418561034543832,0,
241,39536207,0,
242,1331763709125019730,0,
243,781410684217927257,0,
244,914306687512314668,7,4.57
245,1376924166806313946,0,
246,972031965730636945,0,
247,39268700,0,
248,1458730683705946113,0,
249,1504837986944771457,1,4.0
250,1580913422544317113,0,
251,1230421698982535407,13,4.62
252,1302790350899339887,1,5.0
253,7489678,0,
254,35297501,3,4.67
255,26202767,50,4.74
256,1473761579603432032,0,
257,1057064043397032601,0,
258,1288941582554807510,0,
259,737066292019794480,0,
260,840395608310704110,0,
261,54383898,0,
262,1687521271061453416,0,
263,1130058759889024248,0,
264,1638909200728969734,0,
265,1686729518586515985,0,
266,1096854766453061958,56,4.86
267,1683416694272489771,1,5.0
268,1384887618505030303,1,4.0
269,1608118185567083345,2,5.0
270,1693220280281380707,0,
271,53833801,1,5.0
272,1617292027371452115,0,
273,1525803614646107833,0,
274,25936805,0,
275,42341474,0,
276,1500312169112054569,7,4.86
277,1463716976144943664,0,
278,1323853514631733576,0,
279,907615181059207384,0,
280,41760147,0,
281,1271682431579458715,0,
282,1594643478926891231,0,
283,1305695407426325643,0,
284,1707262272704805145,0,
285,1421516392821406906,0,
286,1582979788455506618,0,
287,22234154,5,4.4
288,44482677,1,4.0
289,1527394857780186254,1,5.0
290,1085453531865466378,1,5.0
291,1358350498031116068,0,
292,1320160729332765609,3,5.0
293,1631628260073660751,5,5.0
294,28324856,85,4.82
295,1082330523622539745,2,5.0
296,1451461028747926615,0,
297,1536156005474175432,1,5.0
298,1698600012595239698,0,
299,1328230650615616723,46,4.5
300,1678250327912523270,0,
301,1116602901340932081,0,
302,1681803256999594426,0,
303,1373732103008312404,0,
304,1226401007752688219,1,5.0
305,1643489626692263856,0,
306,1093214660050037607,12,4.75
307,31052911,0,
308,45337959,0,
309,1612844941944156275,0,
310,1331691046428535488,0,
311,1497705101565615288,1,5.0
312,1276562205221793535,0,
313,15455135,0,
314,867970116429832123,0,
315,1343222219439818574,0,
316,1551377767220686018,3,4.67
317,1318752583566543392,2,4.5
318,42866395,0,
319,1649098603646960872,0,
320,1302718336327602934,2,4.5
321,1384393711073249316,0,
322,1678870009408120852,0,
323,962729217624540233,0,
324,1205766854796164037,0,
325,846736031528327414,1,5.0
326,1286239268918498657,0,
327,1299410545894994318,0,
328,918624147203766888,8,4.75
329,7027202,0,
330,765148692072318251,0,
331,1109720761697389640,78,4.76
332,1683408684094093016,1,5.0
333,1333175806159442080,8,4.38
334,20949232,11,4.55
335,1442134202993504127,0,
336,15661727,1,1.0
337,38571654,0,
338,1488238242052255099,0,
339,1105751339476290373,0,
340,982999942829916528,0,
341,1614991559698292533,0,
342,1588009312223717898,0,
343,1264820915760971216,0,
344,1689097454880110785,1,5.0
345,1307908743224114045,0,
346,1127106817274395758,2,4.0
347,1172196592151458036,0,
348,37707441,3,3.67
349,1586740268501669666,4,5.0
350,2133513,17,4.24
351,1057753210883236301,40,4.68
352,1561571419437983617,0,
353,1303755484688236788,1,5.0
354,1662382838438845951,0,
355,1521682218323063187,0,
356,1434180295839284915,2,5.0
357,1040485684000683209,0,
358,18125569,22,5.0
359,17918685,0,
360,3940735,0,
361,1587352606834039625,0,
362,13437504,7,4.71
363,1672426429576927095,0,
364,41184724,0,
365,31062246,0,
366,14867409,0,
367,1366076773912078643,0,
368,20788826,10,4.7
369,36314744,0,
370,1660032132704005590,0,
371,1465023564672818747,0,
372,624261568342445563,15,4.6
373,1702240874233762216,0,
374,903277276943046134,0,
375,1559462379695850564,0,
376,1036725916128755887,1,5.0
377,1257593609647504274,2,4.5
378,1105079957965618945,0,
379,1405650395252343414,1,5.0
380,1256853342047360619,10,4.9
381,1484528576539674883,1,1.0
382,1714295982508744309,0,
383,41603358,0,
384,1244732972842545437,0,
385,1707793378751755841,0,
386,1059032185422759480,4,5.0
387,1330979212014461448,0,
388,38107295,0,
389,40594798,0,
390,6400420,0,
391,39061597,0,
392,1559679677130011763,0,
393,580129436643746169,0,
394,1318238710707907653,8,5.0
395,1571641083001672293,0,
396,903204735251163026,5,5.0
397,12475997,14,4.21
398,1429825101660296196,0,
399,1661391804395570211,0,
400,1654793783243557194,0,
401,1289142923464502259,9,4.89
402,1590337916299383295,0,
403,948282216579690212,0,
404,1328206578194052843,8,4.63
405,1370087800824669708,0,
406,1467519958065764198,0,
407,1691686267322391401,0,
408,827812781828090714,0,
409,1367858116155427383,8,4.5
410,1602006790863482782,0,
411,1471359396191375590,20,4.45
412,1286265570482504332,0,
413,1681541908752212866,0,
414,1062131893582007053,0,
415,1649748507334812528,0,
416,1124995074528253051,0,
417,1343246069526580654,0,
418,1712253281749356877,0,
419,24086868,1,3.0
420,1366122178334275179,0,
421,41782603,0,
422,2178237,75,4.69
423,1545509811436386992,0,
424,1595409300082757004,10,4.7
425,1035879789735660548,21,4.76
426,12975072,2,4.5
427,1620216981369923707,3,5.0
428,1471518795002368486,0,
429,1631812457296736400,0,
430,1617805936697672424,0,
431,1619462047493222468,5,5.0
432,753267453404046673,20,4.8
433,1285555691100462951,0,
434,40704220,0,
435,1381015856557685339,0,
436,1272752069837385800,9,5.0
437,14542540,26,4.12
438,1599060823393018422,0,
439,1329710959719385470,5,4.6
440,1411537018290591376,1,3.0
441,888915016125544400,0,
442,1586277446728920387,1,4.0
443,1421452567402322888,2,5.0
444,1437020771837376166,0,
445,1546423796690626668,0,
446,1396349129750093784,7,3.71
447,1365336289020092541,0,
448,753955751741555725,31,4.87
449,1189668830885834913,49,4.82
450,13234274,36,4.83
451,1331159631797980388,12,5.0
452,740284723138127055,26,4.0
453,1321354120539617911,0,
454,971578163426914437,0,
455,1136950439175738351,0,
456,8528401,31,4.9
457,971580329030490001,0,
458,1646199395000451861,3,5.0
459,1694744069084068397,0,
460,1445761080342959128,2,4.5
461,1577994737337706839,2,5.0
462,1573085213769623867,0,
463,629985349108954985,0,
464,800991307273021809,65,4.74
465,41324961,145,4.94
466,1599841184397664688,0,
467,1690410212709762119,0,
468,1675218237240543457,0,
469,1701233623760823136,1,5.0
470,1662448144830568221,0,
471,1699354408226084348,0,
472,1694147664141057457,0,
473,2077641,3,4.33
474,1215546497398435606,7,4.29
475,43322484,0,
476,1305697294113813229,0,
477,38606634,0,
478,1683322017653473138,0,
479,34351222,1,1.0
480,1370783952902210457,0,
481,1504968128734108036,3,4.33
482,1398280530200064917,0,
483,1708589658885870361,0,
484,24073318,0,
485,1711854455581817191,0,
486,666333066529783576,1,5.0
487,952012157726523249,0,
488,838795665279976399,0,
489,32252075,0,
490,39080213,0,
491,656174769585978430,40,4.58
492,1613049246217291170,0,
493,1433123609046148261,1,4.0
494,1563138780292892950,0,
495,40559195,16,4.06
496,854741808349317624,48,4.88
497,903264511697820202,1,5.0
498,1546895292503604788,1,5.0
499,814254359668287517,7,4.0
500,1391584014145020959,0,
501,611960270312911571,83,4.96
502,7573007,37,4.54
503,4265987,29,5.0
504,1644746848535005287,0,
505,4695837,5,5.0
506,1219555358480241643,36,4.92
507,1655572498586155379,0,
508,1305073645614628830,96,4.86
509,1587723810408159863,11,5.0
510,1316391511673554178,42,4.83
511,1206934079175333828,50,4.5
512,1635434459359425418,0,
513,1490077679108865878,0,
514,1149829147553562218,2,5.0
515,39434537,41,4.68
516,23261748,6,4.67
517,21274246,73,4.82
518,42884960,1,5.0
519,1504829127040412943,1,5.0
520,1532613431568962631,0,
521,1620232109145716956,11,4.64
522,1376110486829173397,0,
523,1583122298511061264,0,
524,1609988720895617644,0,
525,988100174320986803,2,3.0
526,1559465047092711586,1,1.0
527,927312070434381554,0,
528,993408401677782969,0,
529,45485860,119,4.71
530,1068669483148061149,52,4.58
531,1266960827053819725,1,5.0
532,1272879020846811424,0,
533,1270006346510140622,6,4.5
534,1398166708681149642,68,4.96
535,47823675,0,
536,1704388407430666214,0,
537,1586946323417808185,0,
538,1617770836756222311,4,5.0
539,1436761950516718242,0,
540,1260800544569407745,59,4.76
541,1033626839001367624,6,4.83
542,14735787,9,4.11
543,54331523,8,4.75
544,1159128943575420251,8,4.88
545,1147804124705169970,0,
546,1629756882855342358,0,
547,1560784248100523518,0,
548,1549056644032264085,11,4.18
549,33514362,22,4.82
550,34163303,0,
551,33789637,7,4.86
552,1184741180549589186,1,3.0
553,36213637,1,5.0
554,1403910562332850816,25,4.92
555,1564385037831933761,22,4.91
556,1669470878851094770,3,4.33
557,36796753,1,5.0
558,1220732853550190594,109,4.97
559,35043039,147,4.46
560,1599835501490334772,1,5.0
561,944473342473005351,91,4.95
562,1094754491041445858,0,
563,39929075,1,2.0
564,48021496,0,
565,1430233530310409361,0,
566,825585215965503508,11,4.82
567,544332462234004602,1,5.0
568,1635315098883657147,0,
569,1481651767514972537,1,5.0
570,1301103465810256648,4,5.0
571,54135027,11,4.45
572,735832429543311704,61,4.97
573,942475090376484452,76,4.87
574,694534306142147691,5,5.0
575,1667970315213562121,0,
576,1587502123052253694,1,5.0
577,926499615568651097,10,5.0
578,7862379,1,3.0
579,1355663110150817135,3,5.0
580,1691903685755874630,0,
581,1261256151533916603,1,4.0
582,1607523438310113806,0,
583,1409170633149745943,3,5.0
584,1634011377543351377,0,
585,1681762468863885707,0,
586,1568270101855348937,1,5.0
587,840812782149465797,11,4.91
588,1532332608565540401,0,
589,1708380565958324204,0,
590,1704192537374986816,0,
591,1224192322833264733,0,
592,1284403759231622790,0,
593,1498544470411295647,1,5.0
594,1658753045577724480,0,
595,928682749022452935,0,
596,1614928493541960455,0,
597,1059200970755129273,77,4.99
598,17780521,5,4.2
599,1547668091949940986,1,4.0
600,847741495500616287,1,2.0
601,21819972,90,4.71
602,1679795494079288696,4,4.75
603,937879584973632354,67,4.9
604,1686064958775765955,0,
605,1608266825666412731,0,
606,1322920274625611553,0,
607,968732344780367136,1,5.0
608,1697575317891063242,0,
609,48090406,33,4.0
610,1046930326084517805,50,4.8
611,1370895993711130767,108,5.0
612,1401823330956553233,0,
613,1232168084141330376,0,
614,1683515490075399186,0,
615,1511998588751513437,1,5.0
616,1334093872145385325,0,
617,686685352918051428,23,4.83
618,1688460691756830380,5,4.6
619,709965828449252777,5,4.0
620,1172031445506282350,6,5.0
621,37373610,41,4.68
622,47225951,0,
623,1389063165483467595,1,5.0
624,1530974525198095642,0,
625,1341804821765663988,5,5.0
626,1017230715369910777,16,4.81
627,1331710424240135819,0,
628,40503983,26,4.65
629,982925260450158242,16,4.5
630,1565182503402488803,0,
631,1662954440632482108,0,
632,32590030,14,4.29
633,1627403189809247295,1,5.0
634,744170543713602490,21,4.9
635,1515221019791180435,32,4.91
636,41430908,29,4.59
637,560700034632139199,25,4.96
638,931360472456579801,0,
639,5895639,2,4.5
640,41397260,9,5.0
641,1048451189100919718,37,4.97
642,1040239994365415693,67,4.76
643,1124524666736179329,2,5.0
644,581416219452297825,37,4.81
645,38653324,58,4.76
646,11854426,26,4.81
647,1067748,71,4.66
648,1298235664402254942,0,
649,36283301,2,1.0
650,1361606163213547838,0,
651,1510849599819383450,0,
652,761884658978728241,24,4.83
653,18042094,11,4.18
654,38392694,3,3.67
655,1258552308242057344,0,
656,811184305871395826,1,5.0
657,1385223439074471002,0,
658,1513086701841302970,0,
659,49537436,0,
660,33658995,48,4.9
661,754272317362995205,10,4.9
662,1169981485806508023,1,4.0
663,1424339614685864713,23,5.0
664,35635184,19,5.0
665,1051747019117582268,5,5.0
666,1506538495851479238,0,
667,1636970110048265197,3,4.67
668,1430217250196838419,0,
669,8783124,28,4.86
670,801490099338820638,6,4.67
671,1597078066864314282,3,5.0
672,1360747468070053061,0,
673,1641267382141781871,10,5.0
674,1659481193981953791,0,
675,1319166897167448265,20,5.0
676,1599082716407360437,0,
677,679436152078826608,19,4.63
678,1694656869048756955,0,
679,1013525706773692386,19,4.84
680,916526395244622465,112,4.81
681,1644000156339949695,0,
682,1564275414217528296,0,
683,791752417268794642,45,4.89
684,1634812597777105863,0,
685,1670274953372549182,0,
686,985347598273086646,84,4.95
687,948466264732153560,174,4.83
688,1603230139410307509,0,
689,5971468,68,4.28
690,37219461,107,4.67
691,1091630488528285539,12,4.83
692,875089462290383762,0,
693,819060572542393193,10,4.7
694,1691035102241812352,0,
695,1347624749238062852,16,4.94
696,1668669029325623142,0,
697,1435995977318182974,0,
698,1506335610953063816,17,4.94
699,25884903,144,4.88
700,928084229965922103,0,
701,39372504,0,
702,53096792,20,4.8
703,1599994078087934745,3,4.67
704,1698996147697020800,0,
705,1364163989232012071,9,4.67
706,1515950736913169820,0,
707,1391015058897198242,0,
708,1513825930056626912,0,
709,18661416,36,4.83
710,1578127030755136826,0,
711,1589581326828096487,0,
712,39647976,38,4.92
713,1340564012329007256,0,
714,1644780261189621400,2,3.5
715,31093643,31,4.84
716,1230241160341014675,25,5.0
717,1581187022336432357,0,
718,1640555005206548036,1,5.0
719,1621746390651275465,0,
720,1122189307871074530,10,3.2
721,1110431480023187480,1,5.0
722,11753619,484,4.96
723,1704855988167987219,0,
724,1562863594758557431,1,4.0
725,1459998592381090555,0,
726,1396345825818758792,26,4.23
727,551997015060749491,95,4.54
728,1544885400911683528,15,4.47
729,1235467162549967909,65,4.95
730,1459334804589851007,0,
731,1712201277796308860,0,
732,1651386176502508808,0,
733,36579355,127,4.76
734,710550099264498495,58,4.67
735,1675334551360330104,0,
736,1320837857905349037,0,
737,1618978308550376984,0,
738,21446726,0,
739,1193366140995555429,56,4.93
740,17097671,0,
741,1334012915616793545,33,4.67
742,1226823014995719944,3,5.0
743,1128166875372383313,0,
744,7585968,23,4.83
745,1319328801785409870,1,4.0
746,1289151572573863096,29,4.72
747,1154264011866388764,0,
748,1445501618267701646,2,5.0
749,1401200842617799508,27,4.81
750,1024386846458130317,0,
751,21167774,82,4.73
752,1577896382149802789,2,5.0
753,844072776544291719,5,5.0
754,1348600948333982943,0,
755,1600742551155519427,0,
756,14861077,412,4.95
757,1694661951702162049,0,
758,1657319033586214710,2,5.0
759,11830111,0,
760,900348644327753454,153,4.9
761,1347609876518053620,30,4.97
762,1285841895699293111,12,5.0
763,1594576778916333685,3,5.0
764,25953607,2,5.0
765,52933306,14,4.14
766,23863409,0,
767,1629382170558885090,0,
768,1217327345608832457,1,5.0
769,1459054967094958486,6,4.67
770,1632663322520333864,0,
771,1015218921271812278,12,5.0
772,1365937733277504147,0,
773,1538453611806394937,3,4.67
774,37374147,43,4.74
775,1040561062391351742,54,4.8
776,43965346,15,4.6
777,1578453681708479644,2,5.0
778,950400637870509336,0,
779,52711371,79,4.85
780,1054825191652243966,26,4.54
781,1541503214657837116,0,
782,1380590939778207467,0,
783,1502970323869442635,6,4.83
784,1602127773822250015,1,5.0
785,1346426875910775679,6,4.83
786,684466371619329764,25,4.84
787,1070121939177518930,13,5.0
788,32464892,75,4.91
789,1578423806382586099,1,5.0
790,1528104641439233321,0,
791,1626102344080016733,0,
792,1683336111811919754,0,
793,1628896306305208174,0,
794,1579708429198391373,2,3.0
795,1551962302519244371,1,5.0
796,1582464321470246532,0,
797,1336934477908342954,0,
798,1665277499063345789,3,5.0
799,42019054,14,4.86
800,696717969382538997,15,4.87
801,16777501,106,4.92
802,1559916652619891523,2,4.0
803,1242630042182185357,2,4.0
804,1659462499025860002,4,4.75
805,1391670275181313460,10,4.6
806,1309503301015271104,4,4.75
807,35416122,48,4.71
808,1269849612345808323,10,5.0
809,1331220642028606649,0,
810,42818667,22,5.0
811,1241837435242368103,93,4.88
812,1046894986179328932,0,
813,30324561,89,4.63
814,1162733117303994260,47,4.62
815,51570306,11,5.0
816,1143985347477730255,0,
817,1675205806273376269,0,
818,33124107,163,4.8
819,1605592777710407695,0,
820,1639455541601799594,0,
821,1002687206056523389,0,
822,1378676685895045936,5,5.0
823,1375806534361141996,3,4.0
824,1481026247945716906,13,4.62
825,1612393687306494266,0,
826,1326208530917280069,0,
827,1586171033395177214,0,
828,1143895206961284051,3,2.0
829,30897658,1,5.0
830,883771130549009000,0,
831,1594536486109790168,9,4.89
832,819838665356124418,23,4.7
833,1476540380375316375,2,5.0
834,1580883641088522035,1,4.0
835,1597662136011162276,0,
836,1599255731975746724,0,
837,1518147111889795948,3,4.33
838,1390221680691230052,0,
839,686644076782696987,1,5.0
840,917948201362760923,0,
841,648804119732944538,19,4.63
842,1655568275082414589,0,
843,1606523762075165695,0,
844,1132416134118577273,0,
845,1033997509916493499,6,4.67
846,1306608594618846531,10,5.0
847,1538448471967211525,1,5.0
848,733960271401460593,111,4.74
849,17270157,3,4.0
850,1130424552351001760,0,
851,41942033,0,
852,1557795908833152007,0,
853,1582615846250734734,0,
854,643959236373185050,2,5.0
855,1583371408650092976,0,
856,1608470564289000591,5,4.4
857,1671206153725017394,0,
858,1563404489643952145,11,4.91
859,1085201954806119071,0,
860,1517406568938390909,361,4.93
861,929313385197546365,1,5.0
862,21652039,1,5.0
863,1409991524985269954,30,4.9
864,1317878087766272207,6,4.83
865,974256984139003308,30,4.7
866,1288888791510358324,0,
867,1665885203848377491,0,
868,1426571007329689349,2,5.0
869,22568399,0,
870,1673828118029336224,0,
871,30414864,112,4.59
872,1404117873064418285,0,
873,797212054637548946,0,
874,1035920981282431292,0,
875,41943569,17,4.35
876,38574322,0,
877,1298973347222086931,17,4.59
878,1582357178705457044,0,
879,14408446,57,4.75
880,1151929493585812880,80,4.9
881,775852811169344995,13,4.85
882,6723842,148,4.89
883,1605750768517362827,0,
884,1599822230256759196,0,
885,1426666935093295105,0,
886,1605028553292473717,0,
887,1308621714638947041,1,5.0
888,1697623933450276856,0,
889,1613036723780589002,1,1.0
890,812754569177870024,2,5.0
891,27594254,4,4.5
892,1114156967948855794,0,
893,1394285,13,3.92
894,1591119228151672907,0,
895,1667916498337083458,0,
896,1349254668667969694,31,4.94
897,1333083507946963984,54,4.87
898,40528501,0,
899,1471526100070426110,5,4.2
900,1642015108442413424,0,
901,1665565322855901245,0,
902,22509651,2,3.0
903,22151766,22,4.68
904,1145973242026340321,1,2.0
905,1457858600014179809,0,
906,1590428749223981449,0,
907,1717604805554843504,0,
908,1693974844901122972,0,
909,41937968,0,
910,1583380654910354884,0,
911,1664408007100375733,0,
912,1491700567479589820,543,4.94
913,970650981386785634,159,4.71
914,630082945672068676,65,4.92
915,36225668,153,4.85
916,1302226492609194708,3,5.0
917,32534050,12,4.08
918,1548223519628077180,13,4.92
919,1205802694041206933,0,
920,741040371852406640,44,4.75
921,2368241,75,4.23
922,28008016,0,
923,1582339213550055153,2,4.0
924,628429768649695606,96,4.73
925,10264628,31,4.84
926,810619226754840707,4,4.75
927,1379325824175927678,0,
928,46630862,7,5.0
929,1026559443248163594,4,5.0
930,1374052007535445736,3,5.0
931,1360717767089964150,0,
932,30140234,26,4.77
933,1132647862646006256,0,
934,1361322271291031731,21,4.95
935,30775817,9,4.78
936,851047100642082738,7,4.86
937,11269875,19,4.84
938,1188139577596403311,2,4.0
939,1329352926295611597,0,
940,7341310,143,4.68
941,706883124386819445,18,4.56
942,52023292,3,3.33
943,16886477,32,4.72
944,1321659449886698697,2,5.0
945,1290215167250999680,32,4.94
946,1496000227440912537,0,
947,7017471,51,4.82
948,871533795064061531,138,4.91
949,1112008442929400458,3,4.67
950,1554145189724798363,16,4.94
951,1603291560097754027,2,5.0
952,44579054,49,4.63
953,980845955592722825,114,4.87
954,9582947,5,4.6
955,1580834461270760189,0,
956,1286706953764359785,6,5.0
957,1676017918036331259,0,
958,41841752,34,4.85
959,1447091553014559724,1,4.0
960,1396210967213012335,18,4.83
961,1627576968299822150,0,
962,1292580029367433213,68,4.87
963,1455874384565268213,0,
964,1461583051049370022,0,
965,1278737461552387112,3,5.0
966,946881038528495585,112,4.88
967,1593058603381601290,0,
968,1582556814824726670,0,
969,1491265689244163732,0,
970,999030897200284346,1,4.0
971,1513817184082022191,0,
972,1500662272974484016,0,
973,1566379684278026002,11,4.73
974,28470529,0,
975,928011807803965249,73,4.96
976,862913048350366985,99,4.98
977,41484615,126,4.84
978,1442353857733709791,26,4.88
979,1276558373350112224,0,
980,938092490868885142,91,4.92
981,1302265671639600932,1,4.0
982,867155932362473032,0,
983,947484370888064268,3,5.0
984,1542798400937175738,9,5.0
985,1378602425582862604,0,
986,804089159240511900,2,4.0
987,824195997284837332,23,4.78
988,1468800096124375066,0,
989,6948269,89,4.64
990,1573295803034759966,12,4.92
991,1587068746333075181,4,5.0
992,726990521738992577,80,4.49
993,1246567381847923814,66,4.91
994,1138857452690083858,32,4.81
995,21399781,8,4.38
996,809920618851349864,218,4.89
997,9502628,340,4.92
998,940517105409972674,57,4.88
999,1037325643704679856,78,4.85
1000,1470999482422866235,9,4.78
1001,817969919901272196,8,5.0
1002,28003284,47,4.81
1003,1136899294738298428,15,4.73
1004,1283287605698961005,27,4.93
1005,969343806897284961,6,5.0
1006,1461276232261774622,7,5.0
1007,903156089211885822,90,4.87
1008,1607078489331063530,0,
1009,1249392333327656710,14,4.57
1010,1488283348200570616,0,
1011,1557113311948971047,7,4.71
1012,663765515120707481,32,4.88
1013,1290943206047917307,1,5.0
1014,1038108594195868584,59,4.78
1015,1065746694345925468,0,
1016,20909293,4,5.0
1017,783656533851538774,2,5.0
1018,1609147731882881074,5,3.2
1019,1621658628155088677,1,5.0
1020,43749227,0,
1021,939790075922331791,23,4.91
1022,995305505436695344,114,4.93
1023,1450701668004032086,1,5.0
